seed,adaptive,Enjoy,hoursPerWeek,reactiveHours,keyboardController,frustrating,difficult,boring,repetitive,controls,preference_0,preference_1,preference_2,preference_3
1828940218,False,True,4.5,1,keyboard,7,6,9,10,8,Wall,Ramp,Speed,Spike
1828544934,False,True,12.5,7.5,keyboard,2,5,1,7,8,Speed,Ramp,Spike,Wall
1826369753,True,True,0.5,0,controller,0,5,0,8,10,Speed,Ramp,Wall,Spike
1825812197,True,True,4,1,keyboard,4,6,2,8,6,Ramp,Speed,Wall,Spike
1825395629,False,True,5,5,controller,2,6,0,8,10,Wall,Speed,Ramp,Spike
1824250451,False,True,12.5,12,controller,7,6,3,6,8,Ramp,Speed,Wall,Spike
1822111810,True,True,1,0,controller,0,5,0,0,9,Speed,Ramp,Spike,Wall
1819900999,True,True,10,9,none,1,1,8,10,10,Speed,Ramp,Spike,Wall
1478306793,False,False,0,0,keyboard,6,5,0,7,6,Speed,Wall,Ramp,Spike
1493072793,False,True,3.5,3.5,keyboard,0,4,0,5,10,Speed,Ramp,Speed,Wall
1496937944,False,True,0,0,keyboard,5,7,0,5,3,Ramp,Wall,Speed,Spike
1651128741,True,True,15,10,controller,2,6,4,5,4,Ramp,Wall,Spike,Speed
1656283135,True,True,5,0,keyboard,1,2,1,6,4,Wall,Ramp,Speed,Spike
1742859809,True,False,0,0,keyboard,7,7,2,2,7,Wall,Speed,Ramp,Spike